State.,Masks Required?,Type of Requirement,Requirement Date
[Iowa](https://www.kcci.com/article/johnson-county-iowa-approves-public-mask-mandate/33536244),Parts of State,null,null
[Oklahoma](https://kfor.com/news/local/list-oklahoma-cities-requiring-recommending-residents-to-wear-face-masks-in-public/),Parts of State,null,null
[Alaska](https://mustreadalaska.com/anchorage-mandates-customers-must-wear-masks/),Parts of State,null,null
[Wyoming](https://www.wyomingnewsnow.tv/content/news/Some-small-businesses-require-shoppers-to-wear-masks-570355741.html),Parts of State,null,null
[New Hampshire](https://www.nhpr.org/post/coronavirus-update-nashua-requires-face-masks-worn-public#stream/0),Parts of State,Gatherings of 100+ People & Personal Care Biz's & Fitness Centers,null
[North Dakota](https://kfgo.com/2020/04/16/62946/),Parts of State,null,null
[Missouri](https://kmox.radio.com/articles/news/st-louis-to-request-everyone-wear-face-masks-in-public),Parts of State,null,null
[Florida](https://www.sun-sentinel.com/coronavirus/fl-ne-cities-ordering-face-masks-20200410-ctxqqd6bonge7afalvso6h7ijm-story.html),Parts of State,null,null
[Kansas](https://www.kansas.com/news/politics-government/article244091222.html),Parts of State,null,null
[Tennessee](https://www.wsmv.com/news/workers-required-to-wear-face-masks-in-nashville-as-phase-1-begins-today/article_3efb2a24-939d-11ea-acc3-db32dfabf40b.html),Parts of State,null,null
[Idaho](https://www.nbcnews.com/news/us-news/masks-required-fewer-games-buffet-closed-idaho-casino-offers-glimpse-n1210756),Parts of State,null,null
[Nebraska](http://dhhs.ne.gov/Documents/COVID-19-Restaurant-In-Room-Dining-Reopening-Guidelines.pdf),Entire State (Employees Only),null,null
[Arizona](https://www.sfchronicle.com/news/article/Phoenix-airport-to-implement-mandatory-face-mask-15284033.php),Parts of State (Employees Only),null,null
[Georgia](https://patch.com/georgia/atlanta/ga-coronavirus-4-ways-make-face-masks),Parts of State (Employees Only),null,null
[South Dakota](https://masks4all.co/what-states-require-masks/),No,null,null
[Utah](https://www.fox13now.com/news/coronavirus/local-coronavirus-news/tricounty-health-department-calls-for-face-masks-to-be-worn-in-public-in-the-uinta-basin),"Masks strongly recommended, provides masks for free","Strongly encourages, provides masks for free",null
[South Carolina](http://thestate.com/news/coronavirus/article244628692.html),Entire State (Most Indoor Public Places),"All Restaurants, Entertainment Venues, & Government Buildings",null
